"Source:","C:\4.0 Kicad\Wiegand Serial TTL\Wie to serial\Wie to serial.sch"
"Date:","31/08/2022 11:10:41 a. m."
"Tool:","Eeschema (5.1.10)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","19"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC","Part Number"
"","","C1","10uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C40894",""
"","","C2","10uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C40894",""
"","","C3","0.22uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C13967",""
"","","C4","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C1790",""
"","","C5","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C1790",""
"","","D1","LED_Small","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C84256",""
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~","-",""
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~","-",""
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~","-",""
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~","-",""
"","","J1","01x02","Connector:Screw_Terminal_01x02","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal","~","C784942",""
"","","J2","01x04","Connector:Screw_Terminal_01x04","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x04_P3.50mm_Horizontal","~","C557656",""
"","","J3","01x03","Connector:Screw_Terminal_01x03","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x03_P3.50mm_Horizontal","~","C557655",""
"","","J4","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","",""
"","","R1","R_Small","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414",""
"","","R2","R_Small","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17630",""
"","","U1","L78L05_SOT89","Regulator_Linear:L78L05_SOT89","Package_TO_SOT_SMD:SOT-89-3","https://lcsc.com/product-detail/Dropout-Regulators-LDO_LR-LR2010B-M50_C459773.html","C459773","LR2010B-M50"
"","","U2","PIC18F14K50-ESS","MCU_Microchip_PIC18:PIC18F14K50-ESS","Package_SO:SSOP-20_5.3x7.2mm_P0.65mm","http://ww1.microchip.com/downloads/en/devicedoc/41350c.pdf","C12460",""
"","","Y2","12 MHz","Device:Resonator","Crystal:Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm","~","C907940","CSTNE12M0G52Z000R0"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC","Part Number"
"1","2","C1, C2","10uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C40894",""
"2","1","C3","0.22uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C13967",""
"3","2","C4, C5","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C1790",""
"4","1","D1","LED_Small","Device:LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C84256",""
"5","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~","-",""
"6","1","J1","01x02","Connector:Screw_Terminal_01x02","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal","~","C784942",""
"7","1","J2","01x04","Connector:Screw_Terminal_01x04","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x04_P3.50mm_Horizontal","~","C557656",""
"8","1","J3","01x03","Connector:Screw_Terminal_01x03","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x03_P3.50mm_Horizontal","~","C557655",""
"9","1","J4","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","",""
"10","2","R1, R2","R_Small","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C17414",""
"11","1","U1","L78L05_SOT89","Regulator_Linear:L78L05_SOT89","Package_TO_SOT_SMD:SOT-89-3","https://lcsc.com/product-detail/Dropout-Regulators-LDO_LR-LR2010B-M50_C459773.html","C459773","LR2010B-M50"
"12","1","U2","PIC18F14K50-ESS","MCU_Microchip_PIC18:PIC18F14K50-ESS","Package_SO:SSOP-20_5.3x7.2mm_P0.65mm","http://ww1.microchip.com/downloads/en/devicedoc/41350c.pdf","C12460",""
"13","1","Y2","12 MHz","Device:Resonator","Crystal:Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm","~","C907940","CSTNE12M0G52Z000R0"
